timestamp,velocity,note_number
1418851722.193931103,79.0,52.0
1418851722.684031010,57.0,52.0
1418851723.195262909,59.0,52.0
1418851723.469589949,75.0,52.0
1418851723.990098953,71.0,52.0
1418851724.471055031,64.0,52.0
1418851724.942698002,89.0,52.0
1418851725.216530085,91.0,52.0
1418851725.704288960,73.0,52.0
1418851726.195508957,107.0,52.0
1418851726.706397057,80.0,52.0
1418851727.193346977,57.0,52.0
1418851727.466548920,66.0,52.0
1418851727.942828894,64.0,52.0
1418851728.447591066,66.0,52.0
1418851728.926912069,70.0,52.0
1418851729.205548048,71.0,52.0
1418851729.667661905,68.0,52.0
1418851730.159035921,89.0,52.0
1418851730.641988039,57.0,52.0
1418851731.147233009,50.0,52.0
1418851731.408006907,54.0,52.0
1418851731.895536900,61.0,52.0
1418851732.375415087,41.0,52.0
1418851732.853508949,61.0,52.0
1418851733.119968891,34.0,52.0
1418851733.626343012,43.0,52.0
1418851734.114321947,52.0,52.0
1418851734.612612963,70.0,52.0
1418851735.118303061,54.0,52.0
1418851735.385996103,57.0,52.0
1418851735.867188931,66.0,52.0
1418851736.370351076,56.0,52.0
1418851736.845571041,63.0,52.0
1418851737.130603075,57.0,52.0
1418851737.648597002,77.0,52.0
1418851738.181504011,89.0,52.0
1418851738.668070078,64.0,52.0
1418851739.152960062,86.0,52.0
1418851739.428858995,59.0,52.0
1418851739.922874928,73.0,52.0
1418851740.403528929,71.0,52.0
1418851740.894769907,77.0,52.0
1418851741.163445950,52.0,52.0
1418851741.658190966,79.0,52.0
1418851742.170691013,86.0,52.0
1418851742.669804096,68.0,52.0
1418851743.152201891,68.0,52.0
1418851743.404995918,68.0,52.0
1418851743.896404028,105.0,52.0
1418851744.387428999,103.0,52.0
1418851744.888237000,75.0,52.0
1418851745.136389017,89.0,52.0
1418851745.619116068,112.0,52.0
1418851746.125581026,84.0,52.0
1418851746.622381926,86.0,52.0
1418851747.087831974,68.0,52.0
1418851747.356616974,75.0,52.0
1418851747.864170074,89.0,52.0
