timestamp,velocity,note_number
1418851801.967559099,82.0,52.0
1418851801.976969004,64.0,52.0
1418851801.979300022,77.0,52.0
1418851801.981636047,61.0,52.0
1418851801.983906031,54.0,52.0
1418851807.021393061,100.0,52.0
1418851807.789450884,105.0,52.0
1418851808.568581104,80.0,52.0
1418851808.990314960,95.0,52.0
1418851809.726118088,112.0,52.0
1418851810.469744921,77.0,52.0
1418851811.169790030,95.0,52.0
1418851811.582381010,79.0,52.0
1418851812.314420938,64.0,52.0
1418851813.067518950,73.0,52.0
1418851813.853974104,64.0,52.0
1418851814.578861952,64.0,52.0
1418851814.972210884,57.0,52.0
1418851815.668524981,105.0,52.0
1418851816.440403938,86.0,52.0
1418851817.149281025,73.0,52.0
1418851817.511964083,93.0,52.0
1418851818.215543985,73.0,52.0
1418851819.004697084,68.0,52.0
1418851819.768992901,66.0,52.0
1418851820.500780106,75.0,52.0
1418851820.917066097,71.0,52.0
1418851821.663625956,68.0,52.0
1418851822.354312897,98.0,52.0
1418851823.130038023,84.0,52.0
1418851823.531563044,95.0,52.0
1418851824.256531000,96.0,52.0
1418851824.934111118,119.0,52.0
1418851825.749479055,87.0,52.0
1418851826.437575102,61.0,52.0
1418851826.830496073,89.0,52.0
1418851827.611999989,118.0,52.0
1418851828.381716013,111.0,52.0
1418851829.139806986,98.0,52.0
1418851829.524642944,105.0,52.0
1418851830.239862919,105.0,52.0
1418851830.965722084,112.0,52.0
