timestamp,velocity,note_number
1418851678.024632931,66.0,52.0
1418851678.438777924,82.0,52.0
1418851678.880321980,59.0,52.0
1418851679.084168911,43.0,52.0
1418851679.510338068,70.0,52.0
1418851679.956144094,91.0,52.0
1418851680.391953945,71.0,52.0
1418851680.639091969,66.0,52.0
1418851681.060672045,66.0,52.0
1418851681.469715118,54.0,52.0
1418851681.889575958,54.0,52.0
1418851682.337721109,71.0,52.0
1418851682.545608044,57.0,52.0
1418851682.962990999,79.0,52.0
1418851683.403444052,93.0,52.0
1418851683.818572998,59.0,52.0
1418851684.054843903,77.0,52.0
1418851684.483517885,66.0,52.0
1418851684.894596100,54.0,52.0
1418851685.322539091,52.0,52.0
1418851685.752928019,54.0,52.0
1418851685.953125954,43.0,52.0
1418851686.378611088,82.0,52.0
1418851686.810398102,59.0,52.0
1418851687.213598967,43.0,49.0
1418851687.214694023,48.0,52.0
1418851687.434241056,59.0,52.0
1418851687.862729073,70.0,52.0
1418851688.324501991,50.0,52.0
1418851688.749619961,27.0,49.0
1418851688.751785040,34.0,52.0
1418851689.145703077,54.0,52.0
1418851689.360950947,48.0,52.0
1418851689.777295113,50.0,49.0
1418851689.810422897,8.0,51.0
1418851690.214221001,56.0,52.0
1418851690.632585049,61.0,52.0
1418851690.883220911,84.0,52.0
1418851691.312628031,66.0,52.0
1418851691.738620996,95.0,52.0
1418851692.179748058,61.0,52.0
1418851692.575139999,86.0,52.0
1418851692.814915895,64.0,52.0
1418851693.241179943,103.0,52.0
1418851693.669740915,68.0,52.0
1418851694.093760014,103.0,52.0
1418851694.326334953,68.0,52.0
1418851694.754462004,80.0,52.0
1418851695.182420969,73.0,52.0
1418851695.625410080,56.0,52.0
1418851696.022330046,70.0,52.0
1418851696.230813980,45.0,52.0
1418851696.656924963,70.0,52.0
1418851697.082178116,71.0,52.0
1418851697.511660099,50.0,52.0
1418851697.513839960,38.0,49.0
1418851697.731204987,63.0,52.0
1418851698.153698921,54.0,52.0
1418851698.597121954,59.0,52.0
1418851699.020545959,52.0,52.0
1418851699.449738026,48.0,52.0
1418851699.666382074,43.0,52.0
1418851700.099493980,47.0,52.0
1418851700.100620985,40.0,51.0
1418851700.514506102,59.0,52.0
1418851700.940912008,52.0,52.0
1418851700.944127083,41.0,49.0
1418851701.166670084,45.0,51.0
1418851701.573597908,59.0,52.0
1418851702.005228996,59.0,52.0
1418851702.435384035,66.0,52.0
1418851702.858138084,77.0,52.0
1418851703.095499992,56.0,52.0
1418851703.524039030,66.0,52.0
1418851703.959733009,100.0,52.0
1418851704.375513077,79.0,52.0
1418851704.618407965,111.0,52.0
