timestamp,x,y
1418851676.951606989,199.0,199.0
1418851677.181724072,201.0,201.0
1418851677.206851959,200.0,200.0
1418851677.221854925,200.0,200.0
1418851677.231853008,199.0,199.0
1418851677.241780996,199.0,199.0
1418851677.251759052,199.0,199.0
1418851677.256810904,198.0,198.0
1418851677.271858931,198.0,198.0
1418851677.276855946,198.0,198.0
1418851677.281833887,197.0,197.0
1418851677.291630030,197.0,197.0
1418851677.296675920,197.0,197.0
1418851677.306857109,197.0,197.0
1418851677.311856031,196.0,196.0
1418851677.316734076,196.0,196.0
1418851677.321858883,196.0,196.0
1418851677.331736088,195.0,195.0
1418851677.336843967,195.0,195.0
1418851677.346740007,194.0,194.0
1418851677.351732016,194.0,194.0
1418851677.356730938,193.0,193.0
1418851677.361682892,193.0,193.0
1418851677.371735096,192.0,192.0
1418851677.376857996,192.0,192.0
1418851677.381732941,192.0,192.0
1418851677.386735916,191.0,191.0
1418851677.396735907,191.0,191.0
1418851677.401859999,190.0,190.0
1418851677.406847954,190.0,190.0
1418851677.416732073,189.0,189.0
1418851677.421731949,189.0,189.0
1418851677.431749105,188.0,188.0
1418851677.436857939,188.0,188.0
1418851677.441858053,187.0,187.0
1418851677.446857929,187.0,187.0
1418851677.451859951,187.0,187.0
1418851677.461739063,186.0,186.0
1418851677.466857910,186.0,186.0
1418851677.471857071,186.0,186.0
1418851677.476844072,186.0,186.0
1418851677.481741905,185.0,185.0
1418851677.486825943,185.0,185.0
1418851677.496860027,185.0,185.0
1418851677.506859064,185.0,185.0
1418851677.511763096,185.0,185.0
1418851677.516860962,185.0,185.0
1418851677.526810884,185.0,185.0
1418851677.531858921,185.0,185.0
1418851677.536736012,186.0,186.0
1418851677.541738987,186.0,186.0
1418851677.546860933,186.0,186.0
1418851677.551861048,186.0,186.0
1418851677.561614990,187.0,187.0
1418851677.566849947,187.0,187.0
1418851677.576612949,188.0,188.0
1418851677.581733942,188.0,188.0
1418851677.586859941,189.0,189.0
1418851677.591845989,189.0,189.0
1418851677.601735115,190.0,190.0
1418851677.606734991,190.0,190.0
1418851677.611859083,191.0,191.0
1418851677.616734982,192.0,192.0
1418851677.621738911,192.0,192.0
1418851677.631741047,194.0,194.0
1418851677.636835098,195.0,195.0
1418851677.641818047,195.0,195.0
1418851677.646847963,196.0,196.0
1418851677.651846886,196.0,196.0
1418851677.661744118,196.0,196.0
1418851677.671863079,194.0,194.0
1418851677.676862001,193.0,193.0
1418851677.681859970,191.0,191.0
1418851677.691761017,186.0,186.0
1418851677.696861029,183.0,183.0
1418851677.701864004,179.0,179.0
1418851677.706736088,176.0,176.0
1418851677.711859941,173.0,173.0
1418851677.721621037,166.0,166.0
1418851677.726632118,163.0,163.0
1418851677.731749058,160.0,160.0
1418851677.741774082,155.0,155.0
1418851677.746838093,153.0,153.0
1418851677.751862049,151.0,151.0
1418851677.761861086,147.0,147.0
1418851677.766860008,146.0,146.0
1418851677.771739960,145.0,145.0
1418851677.776861906,144.0,144.0
1418851677.786815882,143.0,143.0
1418851677.791742086,143.0,143.0
1418851677.796861887,143.0,143.0
1418851677.801734924,144.0,144.0
1418851677.806854963,144.0,144.0
1418851677.811863899,145.0,145.0
1418851677.821861982,147.0,147.0
1418851677.826731920,147.0,147.0
1418851677.831772089,148.0,148.0
1418851677.836764097,149.0,149.0
1418851677.841747999,150.0,150.0
1418851677.846746922,151.0,151.0
1418851677.856790066,153.0,153.0
1418851677.866863012,155.0,155.0
1418851677.871862888,156.0,156.0
1418851677.876862049,158.0,158.0
1418851677.886698008,160.0,160.0
1418851677.891863108,161.0,161.0
1418851677.896861076,163.0,163.0
1418851677.901861906,164.0,164.0
1418851677.906862974,166.0,166.0
1418851677.916862965,169.0,169.0
1418851677.921714067,171.0,171.0
1418851677.931747913,175.0,175.0
1418851677.936856985,177.0,177.0
1418851677.941865921,179.0,179.0
1418851677.946741104,182.0,182.0
1418851677.956743956,186.0,186.0
1418851677.961741924,188.0,188.0
1418851677.966764927,190.0,190.0
1418851677.971863985,191.0,191.0
