timestamp,velocity,note_number
1418851757.416914940,87.0,52.0
1418851757.440660954,57.0,52.0
1418851761.524888992,89.0,52.0
1418851762.134041071,82.0,52.0
1418851762.733889103,82.0,52.0
1418851763.104340076,93.0,52.0
1418851763.678493023,112.0,52.0
1418851764.255606890,89.0,52.0
1418851764.820585012,118.0,52.0
1418851765.128163099,93.0,52.0
1418851765.717572927,109.0,52.0
1418851766.324827909,71.0,52.0
1418851766.928388119,63.0,52.0
1418851767.538510084,82.0,52.0
1418851767.870208025,82.0,52.0
1418851768.458714008,103.0,52.0
1418851769.039798021,82.0,52.0
1418851769.607254028,70.0,52.0
1418851769.916580915,52.0,52.0
1418851770.514633894,61.0,52.0
1418851771.128205061,75.0,52.0
1418851771.734299898,102.0,52.0
1418851772.325747013,75.0,52.0
1418851772.613765001,52.0,52.0
1418851773.238210917,64.0,52.0
1418851773.818623066,86.0,52.0
1418851774.432292938,89.0,52.0
1418851774.760963917,84.0,52.0
1418851775.331259012,84.0,52.0
1418851775.918658018,109.0,52.0
1418851776.511578083,96.0,52.0
1418851777.093898058,80.0,52.0
1418851777.405850887,61.0,52.0
1418851778.040560961,96.0,52.0
1418851778.619329929,73.0,52.0
1418851779.216829062,64.0,52.0
1418851779.526587009,61.0,52.0
1418851780.105593920,91.0,52.0
1418851780.721813917,64.0,52.0
1418851781.323710918,56.0,52.0
1418851781.910852909,66.0,52.0
1418851782.229182005,77.0,52.0
1418851782.823721886,77.0,52.0
1418851783.409403086,103.0,52.0
1418851783.988620996,79.0,52.0
1418851784.272447109,102.0,52.0
1418851784.862112999,103.0,52.0
1418851785.470870972,82.0,52.0
1418851786.063621998,70.0,52.0
1418851786.622076035,66.0,52.0
