timestamp,x,y
1418851803.567948103,320.0,320.0
1418851803.863127947,320.0,320.0
1418851803.923070908,320.0,320.0
1418851803.988193989,320.0,320.0
1418851804.078196049,320.0,320.0
1418851804.138197899,320.0,320.0
1418851804.188199997,320.0,320.0
1418851804.238102913,22.0,22.0
1418851804.293200016,38.0,38.0
1418851804.308100939,41.0,41.0
1418851804.318078041,42.0,42.0
1418851804.323084116,42.0,42.0
1418851804.328198910,43.0,43.0
1418851804.333112955,43.0,43.0
1418851804.343198061,44.0,44.0
1418851804.347986937,44.0,44.0
1418851804.358198881,45.0,45.0
1418851804.363116980,45.0,45.0
1418851804.373202085,46.0,46.0
1418851804.378082037,47.0,47.0
1418851804.383074045,47.0,47.0
1418851804.388199091,48.0,48.0
1418851804.393176079,48.0,48.0
1418851804.403079987,50.0,50.0
1418851804.413198948,51.0,51.0
1418851804.418203115,51.0,51.0
1418851804.423198938,52.0,52.0
1418851804.433074951,54.0,54.0
1418851804.438200951,55.0,55.0
1418851804.443094969,56.0,56.0
1418851804.447982073,57.0,57.0
1418851804.453182936,58.0,58.0
1418851804.458105087,59.0,59.0
1418851804.468200922,61.0,61.0
1418851804.478200912,63.0,63.0
1418851804.483201027,65.0,65.0
1418851804.488199949,66.0,66.0
1418851804.498101950,68.0,68.0
1418851804.503076077,70.0,70.0
1418851804.508200884,71.0,71.0
1418851804.513183117,72.0,72.0
1418851804.518192053,73.0,73.0
1418851804.523180962,73.0,73.0
1418851804.533204079,75.0,75.0
1418851804.543200970,77.0,77.0
1418851804.548203945,77.0,77.0
1418851804.553204060,78.0,78.0
1418851804.563203096,80.0,80.0
1418851804.568078995,80.0,80.0
1418851804.577955961,82.0,82.0
1418851804.583200932,82.0,82.0
1418851804.588192940,83.0,83.0
1418851804.598079920,85.0,85.0
1418851804.608201027,87.0,87.0
1418851804.613204002,88.0,88.0
1418851804.618077040,89.0,89.0
1418851804.623076916,90.0,90.0
1418851804.633112907,92.0,92.0
1418851804.638205051,93.0,93.0
1418851804.643202066,94.0,94.0
1418851804.648205042,96.0,96.0
1418851804.653203011,97.0,97.0
1418851804.663080931,99.0,99.0
1418851804.668199062,101.0,101.0
1418851804.673144102,102.0,102.0
1418851804.678201914,103.0,103.0
1418851804.683105946,104.0,104.0
1418851804.688096046,106.0,106.0
1418851804.697958946,108.0,108.0
1418851804.708203077,110.0,110.0
1418851804.713202953,112.0,112.0
1418851804.718202114,113.0,113.0
1418851804.723175049,114.0,114.0
1418851804.733087063,116.0,116.0
1418851804.738203049,118.0,118.0
1418851804.743202925,119.0,119.0
1418851804.748078108,120.0,120.0
1418851804.753202915,121.0,121.0
1418851804.763092041,123.0,123.0
1418851804.768109083,124.0,124.0
1418851804.778206110,125.0,125.0
1418851804.783202887,126.0,126.0
1418851804.788079023,127.0,127.0
1418851804.793193102,128.0,128.0
1418851804.803206921,130.0,130.0
1418851804.808203936,130.0,130.0
1418851804.813204050,131.0,131.0
1418851804.818203926,132.0,132.0
1418851804.828205109,133.0,133.0
1418851804.838033915,134.0,134.0
1418851804.843204021,135.0,135.0
1418851804.848081112,135.0,135.0
1418851804.853204966,136.0,136.0
1418851804.858143091,136.0,136.0
1418851804.868205070,137.0,137.0
1418851804.873204947,138.0,138.0
1418851804.878079891,138.0,138.0
1418851804.883203983,139.0,139.0
1418851804.888183117,139.0,139.0
1418851804.898081064,140.0,140.0
1418851804.908205986,141.0,141.0
1418851804.913208008,142.0,142.0
1418851804.918205023,142.0,142.0
1418851804.928107023,144.0,144.0
1418851804.933206081,144.0,144.0
1418851804.938205957,145.0,145.0
1418851804.943205118,146.0,146.0
1418851804.948087931,146.0,146.0
1418851804.953061104,147.0,147.0
1418851804.963207960,149.0,149.0
1418851804.973081112,150.0,150.0
1418851804.978080988,151.0,151.0
1418851804.983205080,152.0,152.0
1418851804.993087053,154.0,154.0
1418851804.998081923,155.0,155.0
1418851805.003083944,156.0,156.0
1418851805.008090019,157.0,157.0
1418851805.013058901,158.0,158.0
1418851805.018174887,159.0,159.0
1418851805.028203964,161.0,161.0
1418851805.038207054,163.0,163.0
1418851805.043086052,164.0,164.0
1418851805.048208952,165.0,165.0
1418851805.058088064,167.0,167.0
1418851805.062964916,168.0,168.0
1418851805.073206902,171.0,171.0
1418851805.078085899,172.0,172.0
1418851805.083209991,172.0,172.0
1418851805.093137026,174.0,174.0
1418851805.098208904,175.0,175.0
